,,Race,Gender,,,,,,,,,,,,,,,,,,,,
atlanta rhythm section,1977,,,,,,,,,,,,,,,,,,,,,,
atlanta rhythm section,1978,,,,,,,,,,,,,,,,,,,,,,
atlantic starr,1986,,,,,,,,,,,,,,,,,,,,,,
atlantic starr,1987,,,,,,,,,,,,,,,,,,,,,,
atlantic starr,1992,,,,,,,,,,,,,,,,,,,,,,
audioslave,2003,w,m,,,,,,,,,,,,,,,,,,,,
avant,2000,nw,m,,,,,,,,,,,,,,,,,,,,
avant featuring snoop dogg,2004,nw,m,,,,,,,,,,,,,,,,,,,,
average white band,1975,,m,,,,,,,,,,,,,,,,,,,,
average white band,1975,,,,,,,,,,,,,,,,,,,,,,
avicii,2013,w,m,,,,,,,,,,,,,,,,,,,,
avicii,2014,w,m,,,,,,,,,,,,,,,,,,,,
avicii,2014,w,m,,,,,,,,,,,,,,,,,,,,
avril lavigne,2002,w,f,,,,,,,,,,,,,,,,,,,,
avril lavigne,2002,w,f,,,,,,,,,,,,,,,,,,,,
avril lavigne,2003,w,f,,,,,,,,,,,,,,,,,,,,
avril lavigne,2004,w,f,,,,,,,,,,,,,,,,,,,,
avril lavigne,2004,w,f,,,,,,,,,,,,,,,,,,,,
avril lavigne,2007,w,f,,,,,,,,,,,,,,,,,,,,
avril lavigne,2007,w,f,,,,,,,,,,,,,,,,,,,,
avril lavigne,2011,w,f,,,,,,,,,,,,,,,,,,,,
awolnation,2013,w,m,,,,,,,,,,,,,,,,,,,,
az,1995,nw,m,,,,,,,,,,,,,,,,,,,,
az yet,1996,nw,m,,,,,,,,,,,,,,,,,,,,
az yet,1997,nw,m,,,,,,,,,,,,,,,,,,,,
az yet featuring peter cetera,1997,nw,m,,,,,,,,,,,,,,,,,,,,
b2k,2002,nw,m,,,,,,,,,,,,,,,,,,,,
b2k and p diddy,2003,nw,m,,,,,,,,,,,,,,,,,,,,
baauer,2013,w,m,,,,,,,,,,,,,,,,,,,,
baby bash featuring akon,2005,nw,m,,,,,,,,,,,,,,,,,,,,
baby bash featuring frankie j,2003,nw,m,,,,,,,,,,,,,,,,,,,,
baby bash featuring frankie j,2004,nw,m,,,,,,,,,,,,,,,,,,,,
baby bash featuring tpain,2007,nw,m,,,,,,,,,,,,,,,,,,,,
baby bash featuring tpain,2008,nw,m,,,,,,,,,,,,,,,,,,,,
baby boy da prince,2007,nw,m,,,,,,,,,,,,,,,,,,,,
babyface,1989,,,,,,,,,,,,,,,,,,,,,,
babyface,1990,,,,,,,,,,,,,,,,,,,,,,
babyface,1994,nw,m,,,,,,,,,,,,,,,,,,,,
babyface,1994,nw,m,,,,,,,,,,,,,,,,,,,,
babyface,1994,nw,m,,,,,,,,,,,,,,,,,,,,
babyface,1997,nw,m,,,,,,,,,,,,,,,,,,,,
bachmanturner overdrive,1974,,,,,,,,,,,,,,,,,,,,,,
bachmanturner overdrive,1975,,,,,,,,,,,,,,,,,,,,,,
backstreet boys,1997,w,m,,,,,,,,,,,,,,,,,,,,
backstreet boys,1998,w,m,,,,,,,,,,,,,,,,,,,,
backstreet boys,1998,w,m,,,,,,,,,,,,,,,,,,,,
backstreet boys,1999,w,m,,,,,,,,,,,,,,,,,,,,
backstreet boys,1999,w,m,,,,,,,,,,,,,,,,,,,,
backstreet boys,2000,w,m,,,,,,,,,,,,,,,,,,,,
backstreet boys,2005,w,m,,,,,,,,,,,,,,,,,,,,
bad company,1975,,,,,,,,,,,,,,,,,,,,,,
bad company,1979,,,,,,,,,,,,,,,,,,,,,,
bad english,1989,,,,,,,,,,,,,,,,,,,,,,
bad english,1990,,,,,,,,,,,,,,,,,,,,,,
bad meets evil featuring bruno mars,2011,,m,,,,,,,,,,,,,,,,,,,,
badfinger,1970,,,,,,,,,,,,,,,,,,,,,,
badfinger,1972,,,,,,,,,,,,,,,,,,,,,,
baltimora,1986,,,,,,,,,,,,,,,,,,,,,,
bananarama,1984,,,,,,,,,,,,,,,,,,,,,,
bananarama,1986,,,,,,,,,,,,,,,,,,,,,,
bananarama,1987,,,,,,,,,,,,,,,,,,,,,,
barbara lewis,1965,,,,,,,,,,,,,,,,,,,,,,
barbara mason,1965,,,,,,,,,,,,,,,,,,,,,,
barbra streisand,1974,w,f,,,,,,,,,,,,,,,,,,,,
barbra streisand,1977,w,,,,,,,,,,,,,,,,,,,,,
barbra streisand,1977,w,,,,,,,,,,,,,,,,,,,,,
barbra streisand,1979,,,,,,,,,,,,,,,,,,,,,,
barbra streisand,1981,,,,,,,,,,,,,,,,,,,,,,
barbra streisand,1982,,,,,,,,,,,,,,,,,,,,,,
barbra streisand and bryan adams,1997,w,f,,,,,,,,,,,,,,,,,,,,
barbra streisand barry gibb,1981,,,,,,,,,,,,,,,,,,,,,,
barbra streisand barry gibb,1981,,,,,,,,,,,,,,,,,,,,,,
barbra streisand donna summer,1980,,,,,,,,,,,,,,,,,,,,,,
barenaked ladies,1998,,,,,,,,,,,,,,,,,,,,,,
barry manilow,1975,w,m,,,,,,,,,,,,,,,,,,,,
barry manilow,1975,,,,,,,,,,,,,,,,,,,,,,
barry manilow,1976,w,,,,,,,,,,,,,,,,,,,,,
barry manilow,1976,w,,,,,,,,,,,,,,,,,,,,,
barry manilow,1977,w,,,,,,,,,,,,,,,,,,,,,
barry manilow,1977,w,,,,,,,,,,,,,,,,,,,,,
barry manilow,1978,w,,,,,,,,,,,,,,,,,,,,,
